experiment,k,jl_eps,cluster_radius,lambda_eps,lambda_k,jl_dim,actual_clusters,items_assigned,lambda_min,lambda_max,lambda_mean,lambda_spread,graph_nnz,graph_sparsity,graph_density,build_time_s
42,25,0.500,2.5,2.00,50,104,25,800,0.00000000,1.00000000,0.26100333,1.00000000,5468,0.880601,0.119399,88.98
43,25,0.500,2.5,2.50,20,104,25,800,0.00000000,1.00000000,0.27130172,1.00000000,2302,0.949734,0.050266,86.81
44,25,0.500,2.5,2.50,30,104,25,800,0.00000000,1.00000000,0.20634610,1.00000000,3522,0.923094,0.076906,86.67
45,25,0.500,2.5,2.50,50,104,25,800,0.00000000,1.00000000,0.20418073,1.00000000,5470,0.880557,0.119443,85.47
46,25,0.500,2.5,3.00,20,104,25,800,0.00000000,1.00000000,0.37617371,1.00000000,2304,0.949690,0.050310,87.54
47,25,0.500,2.5,3.00,30,104,25,800,0.00000000,1.00000000,0.35015512,1.00000000,3524,0.923050,0.076950,87.06
48,25,0.500,2.5,3.00,50,104,25,800,0.00000000,1.00000000,0.24603924,1.00000000,5460,0.880776,0.119224,87.46
49,25,0.500,2.5,4.00,20,104,25,800,0.00000000,1.00000000,0.29093447,1.00000000,2304,0.949690,0.050310,86.23
50,25,0.500,2.5,4.00,30,104,25,800,0.00000000,1.00000000,0.33980882,1.00000000,3518,0.923181,0.076819,87.14
51,25,0.500,2.5,4.00,50,104,25,800,0.00000000,1.00000000,0.29061867,1.00000000,5464,0.880688,0.119312,86.56
52,25,0.500,2.5,5.00,20,104,25,800,0.00000000,1.00000000,0.36124094,1.00000000,2302,0.949734,0.050266,87.11
53,25,0.500,2.5,5.00,30,104,25,800,0.00000000,1.00000000,0.30289241,1.00000000,3518,0.923181,0.076819,81.26
54,25,0.500,2.5,5.00,50,104,25,800,0.00000000,1.00000000,0.20952374,1.00000000,5476,0.880426,0.119574,89.09
55,25,0.500,3.0,1.50,20,104,25,800,0.00000000,1.00000000,0.29333896,1.00000000,2302,0.949734,0.050266,85.28
56,25,0.500,3.0,1.50,30,104,25,800,0.00000000,1.00000000,0.27970844,1.00000000,3502,0.923530,0.076470,87.24
57,25,0.500,3.0,1.50,50,104,11,800,0.00000000,1.00000000,0.27068290,1.00000000,5092,0.888811,0.111189,85.76
58,25,0.500,3.0,2.00,20,104,13,800,0.00000000,1.00000000,0.26885108,1.00000000,2300,0.949777,0.050223,86.69
59,25,0.500,3.0,2.00,30,104,21,800,0.00000000,1.00000000,0.29118560,1.00000000,3520,0.923137,0.076863,85.29
60,25,0.500,3.0,2.00,50,104,25,800,0.00000000,1.00000000,0.23404274,1.00000000,5462,0.880732,0.119268,86.74
61,25,0.500,3.0,2.50,20,104,18,800,0.00000000,1.00000000,0.32370151,1.00000000,2300,0.949777,0.050223,86.11
62,25,0.500,3.0,2.50,30,104,25,800,0.00000000,1.00000000,0.22755184,1.00000000,3520,0.923137,0.076863,87.73
63,25,0.500,3.0,2.50,50,104,25,800,0.00000000,1.00000000,0.17758920,1.00000000,5466,0.880645,0.119355,86.24
64,25,0.500,3.0,3.00,20,104,11,800,0.00000000,1.00000000,0.35013646,1.00000000,2304,0.949690,0.050310,89.31
65,25,0.500,3.0,3.00,30,104,25,800,0.00000000,1.00000000,0.27687731,1.00000000,3516,0.923225,0.076775,86.83
66,25,0.500,3.0,3.00,50,104,18,800,0.00000000,1.00000000,0.23240941,1.00000000,5472,0.880514,0.119486,85.92
67,25,0.500,3.0,4.00,20,104,25,800,0.00000000,1.00000000,0.41860546,1.00000000,2302,0.949734,0.050266,86.76
68,25,0.500,3.0,4.00,30,104,24,800,0.00000000,1.00000000,0.41862591,1.00000000,3520,0.923137,0.076863,85.72
69,25,0.500,3.0,4.00,50,104,24,800,0.00000000,1.00000000,0.28855340,1.00000000,5452,0.880950,0.119050,86.75
70,25,0.500,3.0,5.00,20,104,16,800,0.00000000,1.00000000,0.30528775,1.00000000,2302,0.949734,0.050266,86.51
71,25,0.500,3.0,5.00,30,104,25,800,0.00000000,1.00000000,0.33498826,1.00000000,3520,0.923137,0.076863,86.97
72,25,0.500,3.0,5.00,50,104,25,800,0.00000000,1.00000000,0.32090260,1.00000000,5468,0.880601,0.119399,86.12
73,25,0.600,1.6,1.50,20,72,25,800,0.00000000,1.00000000,0.27920888,1.00000000,1587,0.928517,0.071483,61.53
74,25,0.600,1.6,1.50,30,72,25,800,0.00000000,1.00000000,0.35030632,1.00000000,2403,0.891762,0.108238,62.41
75,25,0.600,1.6,1.50,50,72,25,800,0.00000000,1.00000000,0.13922971,1.00000000,3691,0.833746,0.166254,62.40
76,25,0.600,1.6,2.00,20,72,25,800,0.00000000,1.00000000,0.29747884,1.00000000,1591,0.928337,0.071663,60.77
77,25,0.600,1.6,2.00,30,72,25,800,0.00000000,1.00000000,0.26253079,1.00000000,2415,0.891221,0.108779,60.93
78,25,0.600,1.6,2.00,50,72,25,800,0.00000000,1.00000000,0.16101893,1.00000000,3705,0.833116,0.166884,61.57
79,25,0.600,1.6,2.50,20,72,25,800,0.00000000,1.00000000,0.33779588,1.00000000,1591,0.928337,0.071663,62.31
80,25,0.600,1.6,2.50,30,72,25,800,0.00000000,1.00000000,0.25828334,1.00000000,2415,0.891221,0.108779,61.13
