experiment,k,jl_eps,cluster_radius,lambda_eps,lambda_k,jl_dim,actual_clusters,items_assigned,lambda_min,lambda_max,lambda_mean,lambda_spread,graph_nnz,graph_sparsity,graph_density,build_time_s
42,25,0.500,2.5,2.00,50,104,25,800,0.00000000,1.00000000,0.32733799,1.00000000,11246,0.938608,0.061392,93.15
43,25,0.500,2.5,2.50,20,104,25,800,0.00000000,1.00000000,0.28341023,1.00000000,4652,0.974605,0.025395,92.00
44,25,0.500,2.5,2.50,30,104,25,800,0.00000000,1.00000000,0.32927598,1.00000000,7164,0.960892,0.039108,92.92
45,25,0.500,2.5,2.50,50,104,25,800,0.00000000,1.00000000,0.23543080,1.00000000,11236,0.938663,0.061337,92.01
46,25,0.500,2.5,3.00,20,104,25,800,0.00000000,1.00000000,0.26249859,1.00000000,4658,0.974572,0.025428,97.23
47,25,0.500,2.5,3.00,30,104,25,800,0.00000000,1.00000000,0.22980213,1.00000000,7170,0.960859,0.039141,92.00
48,25,0.500,2.5,3.00,50,104,25,800,0.00000000,1.00000000,0.23670167,1.00000000,11254,0.938565,0.061435,92.11
49,25,0.500,2.5,4.00,20,104,25,800,0.00000000,1.00000000,0.32736149,1.00000000,4654,0.974594,0.025406,91.96
50,25,0.500,2.5,4.00,30,104,25,800,0.00000000,1.00000000,0.32555609,1.00000000,7154,0.960946,0.039054,91.91
51,25,0.500,2.5,4.00,50,104,25,800,0.00000000,1.00000000,0.24906822,1.00000000,11246,0.938608,0.061392,92.05
52,25,0.500,2.5,5.00,20,104,25,800,0.00000000,1.00000000,0.30374933,1.00000000,4654,0.974594,0.025406,91.98
53,25,0.500,2.5,5.00,30,104,25,800,0.00000000,1.00000000,0.19406353,1.00000000,7160,0.960914,0.039086,93.12
54,25,0.500,2.5,5.00,50,104,25,800,0.00000000,1.00000000,0.24684043,1.00000000,11246,0.938608,0.061392,92.04
55,25,0.500,3.0,1.50,20,104,25,800,0.00000000,1.00000000,0.33532785,1.00000000,4660,0.974561,0.025439,91.84
56,25,0.500,3.0,1.50,30,104,25,800,0.00000000,1.00000000,0.33995675,1.00000000,7130,0.961077,0.038923,91.97
57,25,0.500,3.0,1.50,50,104,25,800,0.00000000,1.00000000,0.22188328,1.00000000,11140,0.939187,0.060813,91.98
58,25,0.500,3.0,2.00,20,104,25,800,0.00000000,1.00000000,0.34045348,1.00000000,4658,0.974572,0.025428,91.89
59,25,0.500,3.0,2.00,30,104,25,800,0.00000000,1.00000000,0.31036238,1.00000000,7162,0.960903,0.039097,92.29
60,25,0.500,3.0,2.00,50,104,25,800,0.00000000,1.00000000,0.21386552,1.00000000,11250,0.938586,0.061414,92.11
61,25,0.500,3.0,2.50,20,104,25,800,0.00000000,1.00000000,0.29186677,1.00000000,4658,0.974572,0.025428,92.21
62,25,0.500,3.0,2.50,30,104,25,800,0.00000000,1.00000000,0.28991972,1.00000000,7160,0.960914,0.039086,97.97
63,25,0.500,3.0,2.50,50,104,25,800,0.00000000,1.00000000,0.26108582,1.00000000,11238,0.938652,0.061348,92.99
64,25,0.500,3.0,3.00,20,104,25,800,0.00000000,1.00000000,0.23463247,1.00000000,4660,0.974561,0.025439,91.94
65,25,0.500,3.0,3.00,30,104,25,800,0.00000000,1.00000000,0.15084709,1.00000000,7160,0.960914,0.039086,97.18
66,25,0.500,3.0,3.00,50,104,25,800,0.00000000,1.00000000,0.24880756,1.00000000,11240,0.938641,0.061359,92.88
67,25,0.500,3.0,4.00,20,104,25,800,0.00000000,1.00000000,0.27283064,1.00000000,4660,0.974561,0.025439,92.87
68,25,0.500,3.0,4.00,30,104,25,800,0.00000000,1.00000000,0.27316327,1.00000000,7150,0.960968,0.039032,92.03
69,25,0.500,3.0,4.00,50,104,25,800,0.00000000,1.00000000,0.27646135,1.00000000,11250,0.938586,0.061414,97.33
70,25,0.500,3.0,5.00,20,104,25,800,0.00000000,1.00000000,0.32771975,1.00000000,4662,0.974550,0.025450,92.08
71,25,0.500,3.0,5.00,30,104,25,800,0.00000000,1.00000000,0.31217639,1.00000000,7162,0.960903,0.039097,92.13
72,25,0.500,3.0,5.00,50,104,25,800,0.00000000,1.00000000,0.27680204,1.00000000,11242,0.938630,0.061370,91.98
73,25,0.600,1.6,1.50,20,72,25,800,0.00000000,1.00000000,0.33112379,1.00000000,3226,0.963673,0.036327,65.06
74,25,0.600,1.6,1.50,30,72,25,800,0.00000000,1.00000000,0.37171402,1.00000000,4924,0.944552,0.055448,65.12
75,25,0.600,1.6,1.50,50,72,25,800,0.00000000,1.00000000,0.22945466,1.00000000,7668,0.913653,0.086347,64.99
76,25,0.600,1.6,2.00,20,72,25,800,0.00000000,1.00000000,0.33174569,1.00000000,3230,0.963628,0.036372,65.68
77,25,0.600,1.6,2.00,30,72,25,800,0.00000000,1.00000000,0.26608869,1.00000000,4944,0.944327,0.055673,65.77
78,25,0.600,1.6,2.00,50,72,25,800,0.00000000,1.00000000,0.33193228,1.00000000,7736,0.912887,0.087113,65.22
79,25,0.600,1.6,2.50,20,72,25,800,0.00000000,1.00000000,0.30655066,1.00000000,3228,0.963650,0.036350,64.93
80,25,0.600,1.6,2.50,30,72,25,800,0.00000000,1.00000000,0.32386072,1.00000000,4946,0.944304,0.055696,65.03
81,25,0.600,1.6,2.50,50,72,25,800,0.00000000,1.00000000,0.21430600,1.00000000,7734,0.912909,0.087091,65.00
82,25,0.600,1.6,3.00,20,72,25,800,0.00000000,1.00000000,0.32922392,1.00000000,3230,0.963628,0.036372,68.49
83,25,0.600,1.6,3.00,30,72,25,800,0.00000000,1.00000000,0.32269183,1.00000000,4950,0.944259,0.055741,64.98
84,25,0.600,1.6,3.00,50,72,25,800,0.00000000,1.00000000,0.31736906,1.00000000,7732,0.912932,0.087068,65.00
85,25,0.600,1.6,4.00,20,72,25,800,0.00000000,1.00000000,0.31121734,1.00000000,3222,0.963718,0.036282,65.00
86,25,0.600,1.6,4.00,30,72,25,800,0.00000000,1.00000000,0.27247874,1.00000000,4950,0.944259,0.055741,65.05
87,25,0.600,1.6,4.00,50,72,25,800,0.00000000,1.00000000,0.25636762,1.00000000,7730,0.912954,0.087046,65.13
88,25,0.600,1.6,5.00,20,72,25,800,0.00000000,1.00000000,0.34684351,1.00000000,3226,0.963673,0.036327,65.02
89,25,0.600,1.6,5.00,30,72,25,800,0.00000000,1.00000000,0.25242144,1.00000000,4958,0.944169,0.055831,65.00
90,25,0.600,1.6,5.00,50,72,25,800,0.00000000,1.00000000,0.25888671,1.00000000,7732,0.912932,0.087068,65.70
91,25,0.600,2.0,1.50,20,72,25,800,0.00000000,1.00000000,0.35052164,1.00000000,3232,0.963605,0.036395,65.00
92,25,0.600,2.0,1.50,30,72,25,800,0.00000000,1.00000000,0.33253690,1.00000000,4896,0.944867,0.055133,68.68
93,25,0.600,2.0,1.50,50,72,25,800,0.00000000,1.00000000,0.19575979,1.00000000,7674,0.913585,0.086415,65.35
94,25,0.600,2.0,2.00,20,72,25,800,0.00000000,1.00000000,0.32362444,1.00000000,3226,0.963673,0.036327,65.27
95,25,0.600,2.0,2.00,30,72,25,800,0.00000000,1.00000000,0.29783728,1.00000000,4950,0.944259,0.055741,65.31
96,25,0.600,2.0,2.00,50,72,25,800,0.00000000,1.00000000,0.30441854,1.00000000,7730,0.912954,0.087046,65.13
97,25,0.600,2.0,2.50,20,72,25,800,0.00000000,1.00000000,0.25776342,1.00000000,3230,0.963628,0.036372,65.04
98,25,0.600,2.0,2.50,30,72,25,800,0.00000000,1.00000000,0.23717697,1.00000000,4944,0.944327,0.055673,68.96
99,25,0.600,2.0,2.50,50,72,25,800,0.00000000,1.00000000,0.29709682,1.00000000,7736,0.912887,0.087113,65.10
100,25,0.600,2.0,3.00,20,72,25,800,0.00000000,1.00000000,0.33705712,1.00000000,3230,0.963628,0.036372,64.99
101,25,0.600,2.0,3.00,30,72,25,800,0.00000000,1.00000000,0.29789320,1.00000000,4942,0.944349,0.055651,66.50
102,25,0.600,2.0,3.00,50,72,25,800,0.00000000,1.00000000,0.27324604,1.00000000,7734,0.912909,0.087091,65.20
103,25,0.600,2.0,4.00,20,72,25,800,0.00000000,1.00000000,0.39968788,1.00000000,3228,0.963650,0.036350,65.17
104,25,0.600,2.0,4.00,30,72,25,800,0.00000000,1.00000000,0.31379683,1.00000000,4948,0.944282,0.055718,65.02
105,25,0.600,2.0,4.00,50,72,25,800,0.00000000,1.00000000,0.30877535,1.00000000,7738,0.912864,0.087136,65.78
106,25,0.600,2.0,5.00,20,72,25,800,0.00000000,1.00000000,0.24277716,1.00000000,3224,0.963695,0.036305,65.08
107,25,0.600,2.0,5.00,30,72,25,800,0.00000000,1.00000000,0.29621979,1.00000000,4948,0.944282,0.055718,65.76
108,25,0.600,2.0,5.00,50,72,25,800,0.00000000,1.00000000,0.23028500,1.00000000,7736,0.912887,0.087113,65.78
109,25,0.600,2.5,1.50,20,72,25,800,0.00000000,1.00000000,0.31657765,1.00000000,3230,0.963628,0.036372,64.97
110,25,0.600,2.5,1.50,30,72,25,800,0.00000000,1.00000000,0.24324502,1.00000000,4900,0.944822,0.055178,65.07
111,25,0.600,2.5,1.50,50,72,25,800,0.00000000,1.00000000,0.13621380,1.00000000,7670,0.913630,0.086370,65.13
112,25,0.600,2.5,2.00,20,72,25,800,0.00000000,1.00000000,0.30539670,1.00000000,3230,0.963628,0.036372,65.09
113,25,0.600,2.5,2.00,30,72,25,800,0.00000000,1.00000000,0.30734286,1.00000000,4952,0.944237,0.055763,65.65
114,25,0.600,2.5,2.00,50,72,25,800,0.00000000,1.00000000,0.26926681,1.00000000,7720,0.913067,0.086933,65.10
115,25,0.600,2.5,2.50,20,72,25,800,0.00000000,1.00000000,0.29054306,1.00000000,3232,0.963605,0.036395,65.79
116,25,0.600,2.5,2.50,30,72,25,800,0.00000000,1.00000000,0.39052501,1.00000000,4954,0.944214,0.055786,65.08
117,25,0.600,2.5,2.50,50,72,25,800,0.00000000,1.00000000,0.27839638,1.00000000,7730,0.912954,0.087046,66.14
118,25,0.600,2.5,3.00,20,72,25,800,0.00000000,1.00000000,0.24488752,1.00000000,3230,0.963628,0.036372,65.00
119,25,0.600,2.5,3.00,30,72,25,800,0.00000000,1.00000000,0.31338701,1.00000000,4958,0.944169,0.055831,65.05
120,25,0.600,2.5,3.00,50,72,25,800,0.00000000,1.00000000,0.16101637,1.00000000,7730,0.912954,0.087046,65.11
121,25,0.600,2.5,4.00,20,72,25,800,0.00000000,1.00000000,0.23917437,1.00000000,3230,0.963628,0.036372,64.92
122,25,0.600,2.5,4.00,30,72,25,800,0.00000000,1.00000000,0.22184787,1.00000000,4950,0.944259,0.055741,65.75
123,25,0.600,2.5,4.00,50,72,25,800,0.00000000,1.00000000,0.36531072,1.00000000,7742,0.912819,0.087181,65.01
124,25,0.600,2.5,5.00,20,72,25,800,0.00000000,1.00000000,0.32991168,1.00000000,3228,0.963650,0.036350,64.98
125,25,0.600,2.5,5.00,30,72,25,800,0.00000000,1.00000000,0.26032823,1.00000000,4948,0.944282,0.055718,65.04
126,25,0.600,2.5,5.00,50,72,25,800,0.00000000,1.00000000,0.24263912,1.00000000,7742,0.912819,0.087181,65.85
127,25,0.600,3.0,1.50,20,72,25,800,0.00000000,1.00000000,0.29536215,1.00000000,3224,0.963695,0.036305,65.72
128,25,0.600,3.0,1.50,30,72,25,800,0.00000000,1.00000000,0.20590151,1.00000000,4900,0.944822,0.055178,65.20
129,25,0.600,3.0,1.50,50,72,25,800,0.00000000,1.00000000,0.25478842,1.00000000,7660,0.913743,0.086257,65.09
130,25,0.600,3.0,2.00,20,72,25,800,0.00000000,1.00000000,0.27328464,1.00000000,3224,0.963695,0.036305,65.01
131,25,0.600,3.0,2.00,30,72,25,800,0.00000000,1.00000000,0.32743462,1.00000000,4954,0.944214,0.055786,65.07
132,25,0.600,3.0,2.00,50,72,25,800,0.00000000,1.00000000,0.21429115,1.00000000,7728,0.912977,0.087023,65.08
133,25,0.600,3.0,2.50,20,72,25,800,0.00000000,1.00000000,0.27769477,1.00000000,3232,0.963605,0.036395,64.98
134,25,0.600,3.0,2.50,30,72,25,800,0.00000000,1.00000000,0.26326276,1.00000000,4952,0.944237,0.055763,65.05
135,25,0.600,3.0,2.50,50,72,25,800,0.00000000,1.00000000,0.32672734,1.00000000,7724,0.913022,0.086978,65.06
