config,lambda_mean,lambda_std,lambda_cv,lambda_range,spectral_gap,normalized_gap,fiedler_value,effective_rank,participation_ratio,cohens_d,overlap
gaussian_best,0.223554,0.099495,0.445059,1.000000,0.002733,0.002733,0.036369,729.92,667.74,0.086,0.443
tight_clusters,0.275514,0.119149,0.432459,1.000000,0.005387,0.005387,0.020339,731.57,673.96,0.049,0.555
high_compression,0.350977,0.120931,0.344554,1.000000,0.031303,0.031303,0.052675,755.30,715.10,0.064,0.414
dense_graph,0.263194,0.110455,0.419673,1.000000,0.005210,0.005210,0.055224,736.63,680.20,0.046,0.498
sparse_graph,0.211782,0.097851,0.462036,1.000000,0.008780,0.008780,0.016893,725.60,659.26,0.074,0.426
