config,method,lambda_eps,k,cluster_radius,lambda_k,alpha,accuracy,balanced_accuracy,precision,recall,f1,build_time_s,query_time_s
tight_clusters,search_alpha0.6,1.8,25,2,50,0.6,0.950000,0.789655,0.750000,0.600000,0.666667,45.23,389.4171
tight_clusters,search_alpha0.8,1.8,25,2,50,0.8,0.950000,0.786207,0.692308,0.600000,0.642857,45.23,392.3517
tight_clusters,search_alpha0.9,1.8,25,2,50,0.9,0.975000,0.896552,0.923077,0.800000,0.857143,45.23,390.6132
tight_clusters,search_alpha1.0,1.8,25,2,50,1.0,0.956250,0.922989,0.812500,0.866667,0.838710,45.23,391.3908
high_compression,knn_lambda_k1,1.8,50,2.5,50,NA,0.787500,0.494253,0.086957,0.133333,0.105263,45.18,NA
high_compression,knn_lambda_k3,1.8,50,2.5,50,NA,0.862500,0.475862,0.000000,0.000000,0.000000,45.18,NA
high_compression,knn_lambda_k5,1.8,50,2.5,50,NA,0.887500,0.489655,0.000000,0.000000,0.000000,45.18,NA
high_compression,knn_lambda_k7,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.18,NA
high_compression,knn_lambda_k11,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.18,NA
high_compression,knn_lambda_k15,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.18,NA
high_compression,knn_cosine_k1,1.8,50,2.5,50,NA,0.937500,0.905747,0.619048,0.866667,0.722222,45.18,45.5567
high_compression,knn_cosine_k3,1.8,50,2.5,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.18,45.5460
high_compression,knn_cosine_k5,1.8,50,2.5,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.18,45.5240
high_compression,knn_cosine_k7,1.8,50,2.5,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.18,45.5212
high_compression,knn_cosine_k11,1.8,50,2.5,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.18,45.5265
high_compression,knn_cosine_k15,1.8,50,2.5,50,NA,0.968750,0.893103,0.857143,0.800000,0.827586,45.18,45.4949
high_compression,umap_2d_k1,1.8,50,2.5,50,NA,0.850000,0.558621,0.200000,0.200000,0.200000,91.98,0.0033
